Index,Titol,Valoracio,Data_critica,Gènere,Director,Interprets,Guio,Pais,Durada,Edat_recomanada,Distribuidora,Data_estrena
351,Secretos de Estado,8,25-10-2019,"Drama, Thriller",Gavin Hood,Keira Knightley,"Gavin Hood, Gregory Bernstein, Sara Bernstein",Reino Unido,112 min.,,Entertainment One Films,25 de Octubre de 2019
352,La defensa por la libertad,6,25-10-2019,Documental,Pilar Pérez Solano,,,España,71 min.,,Elamedia,25 de Octubre de 2019
353,"Tan cerca, tan lejos",7,25-10-2019,"Comedia, Drama, Romance",Cédric Klapisch,"Ana Girardot, Camille Cottin, François Bérleand, François Civil, Simon Abkarian","Cédric Klapisch, Santiago Amigorena",Francia,110 min.,,Vértgo Films,25 de Octubre de 2019
354,El silencio de la ciudad blanca,5,25-10-2019,Thriller,Daniel Calparsoro,"Aura Garrido, Belén Rueda, Javier Rey, Manolo Solo","Alfred Pérez Fargas, Roger Danès",España,103 min. ,,DeA Planeta,25 de Octubre de 2019
355,Michelangelo infinito,5,23-10-2019,"Biografía, Drama",Emanuele Imbucci,"Enrico Lo Verso, Ivano Marescotti",,Italia,97 min.,,A Contracorriente Films,23 de Octubre de 2019
356,Retrato de una mujer en llamas,10,18-10-2019,"Acción, Thriller",Luis Prieto,,Knate Lee,Estados Unidos,94 min.,,Karma Films,18 de Octubre de 2019
357,El asesino de los caprichos,6,18-10-2019,"Drama, Policíaco",Gerardo Herrero,"Antonio Velázquez, Aura Garrido, Daniel Grao, Maribel Verdú, Roberto Álamo",Ángela Armero,España,100 min.,,A Contracorriente Films,18 de Octubre de 2019
358,Zombieland: Mata y remata,6,18-10-2019,"Comedia, Terror",,"Abigail Breslin, Emma Stone, Jesse Eisenberg, Woody Harrelson, Zoey Deutch","Dave Callaham, Paul Wernick, Rhett Reese",Estados Unidos,99 min.,,Sony Pictures España,18 de Octubre de 2019
359,Maléfica: Maestra del mal,4,18-10-2019,Fantástico,Joachim Rønning,Angelina Jolie,"Linda Woolverton, Micah Fitzerman-Blue, Noah Harpster",Estados Unidos,,,Disney,18 de Octubre de 2019
360,Comportarse como adultos,7,18-10-2019,"Drama, Política",,"Alexandros Bourdoumis, Christos Loulis, Josiane Pinso, Ulrich Tukur",Eliminar término: Costa-Gavras Costa-Gavras,Francia,124 min.,,Wanda,18 de Octubre de 2019
361,Día de lluvia en Nueva York,7,11-10-2019,"Comedia, Romance",Woody Allen,"Elle Fanning, Timothée Chalamet",Woody Allen,Estados Unidos,92 min.,,A Contracorriente Films,11 de Octubre de 2019
362,Noche de bodas,8,11-10-2019,"Intriga, Terror, Thiller","Matt Bettinelli-Olpin, Tyler Gillett",Samara Weaving,Guy Busick,Estados Unidos,95 min.,,Fox,11 de Octubre de 2019
363,La luz de mi vida,8,11-10-2019,"Ciencia-ficción, Drama",,Casey Affleck,,Estados Unidos,119 min.,,BTeam Pictures,11 de Octubre de 2019
364,Paradise Hills,6,11-10-2019,Ciencia-ficción,Alice Waddington,"Danielle Macdonald, Emma Roberts","Brian DeLeeuw, Nacho Vigalondo",España,95 min.,,Alfa Pictures,11 de Octubre de 2019
365,Lo que arde,9,11-10-2019,Drama,Oliver Laxe,"Amador Arias, Benedicta Sánchez","Oliver Laxe, Santiago Fillol",España,89 min.,,Filmax,11 de Octubre de 2019
366,Abuelos,5,11-10-2019,"Comedia, Drama",Santiago Requejo,"Ana Fernández, Carlos Iglesias, Ramón Barea, Roberto Álvarez",Javier Lorenzo,España,,,eOne Films,11 de Octubre de 2019
367,Géminis,5,11-10-2019,Ciencia-ficción,Ang Lee,"Benedict Wong, Clive Owen, Linda Emond, Mary Elizabeth Winstead, Will Smith",,Estados Unidos,117 min. ,,Paramount,11 de Octubre de 2019
368,Joker,8,04-10-2019,"Drama, Thriller","Th, Todd Phillips","Joaquin Phoenix, Robert De Niro","Scott Silver, Todd Phillips",Estados Unidos,118 min.,,Warner Bros.,04 de Octubre de 2019
369,Amazing Grace,9,04-10-2019,Documental,"Alan Elliott, Sydney Pollack","Aretha Franklin, C.L. Franklin, Reverand James Cleveland",,Estados Unidos,89 min.,,Caramel Films,04 de Octubre de 2019
370,Diecisiete,6,04-10-2019,Drama,,"Biel Montoro, Iñigo Aranburu, Itsaso Arana, Kandido Uranga, Nacho Sánchez",,España,100 min.,,Netflix,04 de Octubre de 2019
371,Cuernavaca,5,04-10-2019,Drama,Alejandro Andrade,"Carmen Maura, Emilio Puente, Mariana Gajá, Moisés Arizmendi",,México,88 min. ,,Begin Again ,04 de Octubre de 2019
372,Varados,7,04-10-2019,Documental,Helena Taberna,,,España,72 min.,,Márgenes,04 de Octubre de 2019
373,El crack Cero,8,04-10-2019,"Cine Negro, Drama",,,,España,120 min.,,Filmax,04 de Octubre de 2019
374,La directora de orquesta,6,04-10-2019,,Maria Peters,"Benjamin Wainwright, Christanne de Bruijn, Scott Turner Schofield",,Países Bajos,137 min.,,VerCine,04 de Octubre de 2019
375,Una pequeña mentira,7,04-10-2019,"Comedia, Drama",Julien Rappeneau,"André Dussollier, François Damiens, Laetitia Dosch, ludivine sagnier",Julien Rappeneau,Francia,105 min.,,DeAPlaneta,04 de Octubre de 2019
376,Aquí y ahora,6,27-09-2019,Drama,Paz León,"Alex Catona, Erina Libertad, Eugenia Chaverri, Hernan Jimenez, Nerina Carmona",,"Costa Rica, Chile",80 min.,,Reverso Films,27 de Septiembre de 2019
377,Mientras dure la guerra,7,27-09-2019,Drama,Alejandro Amenábar,"Eduard Fernández, karra elejalde",,España,107 min.,,Disney,27 de Septiembre de 2019
378,"Hasta siempre, hijo mío",6,27-09-2019,Drama,Wang Xiaoshuai,"Cheng Xu, Du Jiang, Jingjing Li, Liya Ai, Mei Yong, Roy Wang, Wang Jingchun, Xi Qi, Zhao-Yan Guo-Zhang",Mei Ah,China,175 min.,,Avalon,27 de Septiembre de 2019
379,Señor,5,27-09-2019,"Drama, Romance",Rohena Gera,"Ahmareen Anjum, Geetanjali Kulkarni, Rahul Vohra, Tilotama Shome, Vivek Gomber",,"India, Francia",99 min. ,,Surtsey Films,27 de Septiembre de 2019
380,H0us3,5,27-09-2019,Ciencia-ficción,Manolo Munguia,"Anna Bertran, Bernat Mestre, Mariona Tena, Miriam Tortosa, Roc Esquius, Rubèn Serrano",Sergio Martinez,España,105 min. ,,Begin Again ,27 de Septiembre de 2019
381,Rambo: Last Blood,6,27-09-2019,Acción,,"Adriana Barraza, Paz Vega, Sergio Peris-Mencheta, Sylvester Stallone, Yvette Monreal","Matthew Cirulnick, Sylvester Stallone",Estados Unidos,100 min.,,Vértice 360,27 de Septiembre de 2019
382,Bienvenidos al barrio,5,27-09-2019,Comedia,Mohamed Hamidi,"Anne-Elisabeth Blateau, Camille Lou, Gilles Lellouche, Malik Bentalha, Sabrina Ouazani","Eliminar término: Mohamed Hamidi Mohamed Hamidi, Khaled Amara, Michaël Souhaité",Francia,,,,27 de Septiembre de 2019
383,Ad Astra,10,20-09-2019,,James Gray,Brad Pitt,"Ethan Gross, James Gray",Estados Unidos,124 min.,,20th Century Fox,20 de Septiembre de 2019
384,Ghostland,6,20-09-2019,"Terror, Thriller",Pascal Laugier,,,Canadá,91 min.,,A Contracorriente Films,20 de Septiembre de 2019
385,Downton Abbey,6,20-09-2019,Drama,Michael Engler,Hugh Bonneville,Julian Fellowes,Reino Unido,122 min.,,Universal,20 de Septiembre de 2019
386,Litus,3,13-09-2019,"Comedia, Drama",Dani de la Orden,"Adrián Lastra, Alex García, Belén Cuesta, Jorge Cabrera, José Manuel Valdés, Marta Nieto, Miquel Fernández, Quim Gutiérrez","Dani de la Orden, Marta Buchaca",España,90 min.,,A Contracorriente Films,13 de Septiembre de 2019
387,Los años más bellos de una vida,7,13-09-2019,"Drama, Romance",Claude Lelouch,"Anouk Aimée, Antoine Sire, Jean-Louis Trintignant, Souad Amidou",,Francia,90 min.,,Caramel Films,13 de Septiembre de 2019
388,¿Qué hemos hecho para merecer esto?,6,13-09-2019,Comedia,Eva Spreitzhofer,"Caroline Peters, Chantal Zitzenbacher, Simon Schwarz",,Austria,91 min.,,El Sur,13 de Septiembre de 2019
389,Aute Retrato,5,13-09-2019,"Documental, Musical",Gaizka Urresti,,,España,99 min.,,Urresti,13 de Septiembre de 2019
390,Sordo,6,13-09-2019,Thriller,Alfonso Cortés-Cavanillas,"Aitor Luna, Asier Etxeandia, Hugo Silva, Imanol Arias, Marian Álvarez",,España,120 min.,,Filmax,13 de Septiembre de 2019
391,En mil pedazos,3,13-09-2019,Drama,Sam Taylor-Johnson,"Aaron Taylor-Johnson, Charlie Hunnam",,Estados Unidos,,,eOne Films,13 de Septiembre de 2019
392,Los informes sobre Sarah y Saleem,7,13-09-2019,Drama,Muayad Alayan,"Hanan Hillo, Ishai Golan, Kamel El Basha, Maisa Abd Elhadi, Sivane Kretchner",Rami Musa Alayan,Palestina,127 min.,,Good Films,13 de Septiembre de 2019
393,Dulcinea,4,13-09-2019,Comedia,David Hebrero,"Germán Torres, Phil Miler, Sara Sanz, Steven Tulumello, Thalma de Freitas",,Estados Unidos,98 min.,,ConUnPack,13 de Septiembre de 2019
394,El vendedor de sueños,5,13-09-2019,Drama,Jayme Monjardim,"César Troncoso, Dan Stulbach","L.G. Bayão, L.G. Tubaldini Jr.",Brasil,98 min.,,Bosco,13 de Septiembre de 2019
395,Cuatro manos,6,13-09-2019,"Drama, Thriller",Oliver Kienle,"Christoph Letkowski, Frida-Lovisa Hamann, Friederike Becht",,Alemania,94 min. ,,Cinemaran,13 de Septiembre de 2019
396,Semillas de alegría,4,13-09-2019,Documental,Cristina Linares,"Carla Pozos, Diego Poch, Inma Díaz, Isabel Mata, Jhon Gómez, Jhon Narváez",Manuel Serrano,España,111 min.,,Tus Ojos,13 de Septiembre de 2019
397,Viento de libertad,6,06-09-2019,"Drama, Thriller",Michael Herbig,"Alicia von Rittberg, David Kross, Friedrich Mücke, Karoline Schuch","Kit Hopkins, Thilo Röscheisen",Alemania,125 min. ,,Avalon,06 de Septiembre de 2019
398,Ray & Liz,6,06-09-2019,,Richard Billingham,"Ella Smith, James Eeles, Justin Salinger, Michelle Bonnard, Sam Gittins, Tony Way",,Reino Unido,"108 min, ",,Noucinemart,06 de Septiembre de 2019
399,Vivir dos veces,6,06-09-2019,"Comedia, Drama",Maria Ripoll,"Aina Clotet, Inma Cuesta, Mafalda Carbonell, Nacho López, Oscar Martinez",María Mínguez,España,101 min.,,Filmax,06 de Septiembre de 2019
400,Untouchable,7,06-09-2019,Documental,Ursula Macfarlane,,,Estados Unidos,98 min.,,Vértice 360,06 de Septiembre de 2019
401,Hotel Bombay,6,06-09-2019,"Drama, Thriller",Anthony Maras,"Angus McLaren, Armie Hammer, Dev Patel, Jason Isaacs, Nazanin Boniadi",John Collee,Australia,125 min.,,VerCine,06 de Septiembre de 2019
402,It: Capítulo 2,7,06-09-2019,Terror,Andy Muschietti,"Andy Bean, Bill Hader, Bill Skarsgård, Isaiah Mustafa, James McAvoy, James Ransone, Jay Ryan, Jessica Chastain","Gary Dauberman, Jeffrey Jurgensen",Estados Unidos,"165 min,",,Warner Bros.,06 de Septiembre de 2019
403,El hotel a orillas del río,10,30-08-2019,Drama,,"Gi Ju-bong, Kim Min-Hee, Kwon Hae-hyo, Song Seon-mi, Yu Jun-sang",, Corea del Sur,96 min.,,La Aventura ,30 de Agosto de 2019
404,Quien a hierro mata,7,30-08-2019,"Suspense, Thriller",Paco Plaza,"Ismael Martínez, Luis Tosar, María Vázquez, Pablo Guisa Koestinger, Tania Lamata","Jorge Guerricaechevarría, Juan Galiñanes",España,107 min.,,Sony Pictures España,30 de Agosto de 2019
405,Anna,4,30-08-2019,"Acción, Thriller",Luc Besson,,Luc Besson,Francia,119 min.,,eOne Films,30 de Agosto de 2019
406,La noche de las dos lunas,7,30-08-2019,,Miguel Ferrari,"Luis Gerónimo Abreu, María Barranco, Mariaca Semprún, Prakriti Maduro","Lupe Gehrenbeck, Miguel Ferrari",Venezuela,117 min.,,Syldavia Cinema,30 de Agosto de 2019
407,Playmobil: La película,2,30-08-2019,Animación,Lino DiSalvo,Anya Taylor-Joy,"Blaise Hemingway, Greg Erb, Jason Oremland",Francia,99 min.,,DeAplaneta,30 de Agosto de 2019
408,Objetivo: Washington D.C.,4,30-08-2019,"Acción, Thriller",Ric Roman Waugh,"Gerard Butler, Jada Pinkett Smith, Lance Reddick, Morgan Freeman, Piper Perabo","Creighton Rothenberger, Katrin Benedikt, Robert Mark Kamen",Estados Unidos,120 min.,,Vértice 360,30 de Agosto de 2019
409,Angry Birds 2: La película,7,23-08-2019,Animación,"John Rice, Thurop Van Orman",,"Eyal Podell, Jonathon E. Stewart, Peter Ackerman",Estados Unidos,96 min.,,Sony Pictures España,23 de Agosto de 2019
410,Una íntima convicción,7,23-08-2019,Drama,Antoine Raimbault,"François Fehner, Jean Benguigui, Laurent Lucas, Marina Foïs, Olivier Gourmet, Philippe Uchan",Isabelle Lazard,Francia,110 min.,,La Aventura Audiovisual,23 de Agosto de 2019
411,El cocinero de los últimos deseos,6,23-08-2019,"Cocina, Drama",Yōjirō Takita,"Aoi Miyazaki, Daigo Nishihata, Gou Ayano, Hidetoshi Nishijima, Kazunari Ninomiya, Yoshi Oida, Yutaka Takenouchi",Tamio Hayashi,Japón,126 min.,,Sherlock,23 de Agosto de 2019
412,Infierno bajo el agua,8,23-08-2019,Terror,,"Anson Boon, Barry Pepper, George Somner, Kaya Scodelario, Morfydd Clark, Ross Anderson","Michael Rasmussen, Shawn Rasmussen",Estados Unidos,87 min.,,Paramount,23 de Agosto de 2019
413,Chicos buenos,7,23-08-2019,,"Gene Stupnitsky, Lee Eisenberg","Brady Noon, Jacob Tremblay, Keith L. Williams, Midori Francis, Molly Gordon",,Estados Unidos,95 min.,,Universal,23 de Agosto de 2019
414,Stuber Express,7,23-08-2019,"Acción, Comedia",Michael Dowse,"Betty Gilpin, Dave Bautista, Kumail Nanjiani",Tripper Clancy,Estados Unidos,93 min.,,20th Century Fox,23 de Agosto de 2019
415,Érase una vez en Hollywood,8,15-08-2019,"Drama, Thriller",Quentin Tarantino,"Al Pacino, Brad Pitt, Kurt Russell, Leonardo DiCaprio, Margot Robbie",,Estados Unidos,"165 min,",,Sony Pictures España,15 de Agosto de 2019
416,La virgen de agosto,7,15-08-2019,Drama,Jonás Trueba,"Isabelle Stoffel, Itsaso Arana, Joe Manjón, Luis Heras, María Herrador, Mikele Urroz, Naiara Carmona, Vito Sanz",,España,125 min.,,BTeam Pictures,15 de Agosto de 2019
417,A 47 metros 2: El terror emerge,6,15-08-2019,"Suspense, Terror",Johannes Roberts,"Brianne Tju, Corinne Foxx, John Corbett, Nia Long, Sistine Rose Stallone, Sophie Nélisse","Ernest Riera, Johannes Roberts",Reino Unido,89 min.,,Tripictures,15 de Agosto de 2019
418,Un verano en Ibiza,4,09-08-2019,Comedia,Arnaud Lemort,"Christian Clavier, Leopold Buchsbaum, Mathilde Seigner",,Francia,,,A Contracorriente,09 de Agosto de 2019
419,Mascotas 2,4,09-08-2019,"Animación, Aventuras, Comedia","Chris Renaud, Jonathan del Val",,Brian Lynch,Estados Unidos,98 min.,,Universal,09 de Agosto de 2019
420,Buscando la perfección,7,09-08-2019,Documental,Julien Faraut,,,Francia,95 min.,,A Contracorriente Films,09 de Agosto de 2019
421,El canto de la selva,8,09-08-2019,Drama,"João Salaviza, Renée Nader Messora","Henrique Ihjac Kraho, Raene Koto Kraho",,Brasil,114 min.,,Surtsey Films,09 de Agosto de 2019
422,Lola y sus hermanos,6,09-08-2019,"Comedia, Drama",Jean-Paul Rouve,"Jean-Paul Rouve, José Garcia, ludivine sagnier, Pauline Clément, Ramzy Bedia","David Foenkinos, Jean-Paul Rouve",Francia,105 min.,,Alfa Pictures,09 de Agosto de 2019
423,Historias de miedo para contar en la oscuridad,7,09-08-2019,Terror,André Øvredal,"Austin Zajur, Gabriel Rush, Gil Bellows, Kathleen Pollard, Michael Garza, Zoe Margaret Colletti","Dan Hageman, Guillermo del Toro, Kevin Hageman",Estados Unidos,111 min.,,Entertainment One Films,09 de Agosto de 2019
424,El peral salvaje,10,02-08-2019,"Drama, Familiar",Nuri Bilge Ceylan,"Bennu Yildirimlar, Dogu Demirkol, Hazar Ergüçlü, Murat Cemcir, Serkan Keskin","Akin Aksu, Ebru Ceylan, Nuri Bilge Ceylan",Turquía,188 min.,,Golem,02 de Agosto de 2019
425,El gran Buster,7,02-08-2019,Documental,,,,Estados Unidos,102 min.,,A Contracorriente Films,02 de Agosto de 2019
426,Alcanzando tu sueño (Teen Spirit),9,02-08-2019,"Drama, Musical",Max Minghella,"Elizabeth Berrington, Elle Fanning, Millie Brady, Rebecca Hall, Zlatko Buric",,Estados Unidos,92 min.,,Diamond Films,02 de Agosto de 2019
427,El despertar de las hormigas,7,02-08-2019,Drama,Antonella Sudasassi Furniss,"Adriana Álvarez, Avril Alpízar, Carolina Fernández, Daniella Valenciano, Isabella Moscoso, Leynar Gomez",,Costa Rica,94 min.,,Elamedia,02 de Agosto de 2019
428,Remember me,4,02-08-2019,Drama,Martín Rosete,,Rafa Russo,Estados Unidos,88 min.,,Filmax,02 de Agosto de 2019
429,Rojo,8,02-08-2019,"Drama, Thriller",Benjamín Naishtat,,Benjamín Naishtat,Argentina,109 MIN. ,,A Contracorriente Films,02 de Agosto de 2019
430,Fast & Furious: Hobbs & Shaw,7,02-08-2019,"Acción, Comedia",David Leitch,"Dwayne Johnson, Idris Elba, Jason Statham",Chris Morgan,Estados Unidos,135 min.,,Universal Pictures,02 de Agosto de 2019
431,Padre no hay más que uno,4,01-08-2019,"Comedia, Familiar",Santiago Segura,"Leo Harlem, Santiago Segura, Sílvia Abril, Toni Acosta","Marta González de Vega, Santiago Segura",España,96 min.,,Sony Pictures España,01 de Agosto de 2019
432,Venganza bajo cero,6,26-07-2019,"Acción, Thriller",Hans Petter Moland,"Emmy Rossum, Laura Dern, Liam Neeson, Tom Bateman",Frank Baldwin,Estados Unidos,119 min.,,A Contracorriente Films,26 de Julio de 2019
433,Súper empollonas,8,26-07-2019,Comedia,,Kaitlyn Dever,"Emily Halpern, Katie Silberman, Sarah Haskins",Estados Unidos,105 min.,,eOne Films,26 de Julio de 2019
434,Midsommar,7,26-07-2019,Terror,Ari Aster,"Archie Madekwe, Ellora Torchia, Florence Pugh, Jack Reynor, Will Poulter, William Jackson Harper",,Estados Unidos,147 min.,,DeAplaneta,26 de Julio de 2019
435,El emperador de París,6,26-07-2019,,Jean-François Richet,"August Diehl, Denis Lavant, Olga Kurylenko, Patrick Chesnais, Vincent Cassel",,Francia,112 min.,,Selecta Visión,26 de Julio de 2019
436,Jesús,6,26-07-2019,Drama,Hiroshi Okuyama,"Riki Okuma, Yura Satô",,Japón,76 min.,,La Aventura Audiovisual,26 de Julio de 2019
437,La mirada de Orson Welles,8,26-07-2019,"Biografía, Documental",,,,Reino Unido ,110 min. ,,A Contracorriente Films,26 de Julio de 2019
438,Primeras vacaciones,7,26-07-2019,"Comedia, Romance",Patrick Cassir,"Bar Levy, Camille Chamoux, Jonathan Cohen, Sagi Halperin",,Francia,102 min.,,Karma Films,26 de Julio de 2019
439,Quien me quiera que me siga,6,26-07-2019,,José Alcala,"Bernard Le Coq, Catherine Frot, Daniel Auteuil, Dioucounda Koma, India Hair",,Francia,90 min.,,Adso Films,26 de Julio de 2019
440,303,6,26-07-2019,,Hans Weingartner,"Anton Spieker, Arndt Schwering-Sohnrey, Mala Emde, Thomas Schmuckert",Silke Eggert,Alemania,120 min.,,VerCine,26 de Julio de 2019
441,Génesis,8,19-07-2019,"Drama, Romance",Philippe Lesage,"Brett Dier, Marc Beaupré, Mylène MacKay, Noée Abita, Théodore Pellerin",Philippe Lesage,Canadá,129 min. ,,Surtsey Films,19 de Julio de 2019
442,Entendiendo a Ingmar Bergman,8,19-07-2019,Documental,"Felix Moeller, Margarethe von Trotta",Liv Ullmann,,"Alemania, Francia",96 min.,,A Contracorriente Films,19 de Julio de 2019
443,Ojos negros,7,19-07-2019,Drama,"Ivet Castelo, Marta Lallana",,,España,65 min.,,Filmin,19 de Julio de 2019
444,Utoya. 22 de julio,8,19-07-2019,"Drama, Thriller",Erik Poppe,"Ada Eide, Aleksander Holmen, Andrea Berntzen, Brede Fristad, Sorosh Sadat","Anna Bache-Wiig, Siv Rajendram",Noruega,93 min.,,Caramel Films,19 de Julio de 2019
445,Bosque maldito,4,19-07-2019,Terror,Lee Cronin,"James Cosmo, James Quinn Markey, Kati Outinen, Seána Kerslake, Simone Kirby, Steve Wall",,Estados Unidos,90 min. ,,Festival Films,19 de Julio de 2019
446,El rey león,7,18-07-2019,"Animación, Drama",Jon Favreau,,Jeff Nathanson,Estados Unidos,118 min.,,Disney,18 de Julio de 2019
447,Al agua gambas,5,17-07-2019,Comedia,"Cédric Le Gallo, Maxime Govare","Alban Lenoir, Geoffrey Couët, Nicolas Gob",,Francia,100 min.,,Vértgo Films,17 de Julio de 2019
448,Apolo 11,9,16-07-2019,Documental,Todd Miller,,,Estados Unidos,93 min.,,A Contracorriente Films,16 de Julio de 2019
449,Wild Rose,6,12-07-2019,"Drama, Música",Tom Harper,"Ashley Shelton, Jamie Sives, Jessie Buckley, Julie Walters, Sophie Okonedo",Nicole Taylor,Reino Unido,101 min.,,eOne Films,12 de Julio de 2019
450,Un amor imposible,7,12-07-2019,"Drama, Romance",Catherine Corsini,"Coralie Russier, Iliana Zabeth, Jehnny Beth, Niels Schneider, Virginie Efira","Catherine Corsini, Laurette Polmanss",Francia,135 min.,,Filmax,12 de Julio de 2019
451,Lo nunca visto,5,12-07-2019,Comedia,Marina Seresesky,Carmen Machi,Marina Seresesky,España,93 min.,,Filmax,12 de Julio de 2019
452,An Accidental Studio,7,12-07-2019,Documental,"Ben Tim­lett, Bill Jones, Kim Leggatt",Helen Mirren,,Reino Unido,130 min.,,A Contracorriente Films,12 de Julio de 2019
453,Hamada,8,12-07-2019,Documental,Eloy Domínguez Serén,"Ainina Sihamed Mohamed, Sidahmed Salec Labeid, Zaara Mohamed Saleh",,Suecia,89 min.,,Elamedia,12 de Julio de 2019
454,El cuento de las comadrejas,6,12-07-2019,"Comedia, Drama",,"Clara Lago, Graciela Borges, Luis Brandoni, Marcos Mundstock, Nicolás Francella, Oscar Martinez",,Argentina,129 min. ,,Syldavia,12 de Julio de 2019
455,La vida sin Sara Amat,6,12-07-2019,Drama,Laura Jou,"Biel Rossell, Francesca Piñón, Isaac Alcayde, Joan Amargós, María Morera, Pau Escobar",Coral Cruz,España,75 min.,,Alfa Pictures,12 de Julio de 2019
456,Annabelle vuelve a casa,6,12-07-2019,Terror,,"Katie Sarife, Madison Iseman, Mckenna Grace, Patrick Wilson, Vera Farmiga",Gary Dauberman,Estados Unidos,106 min.,,Warner Bros,12 de Julio de 2019
457,Diego Maradona,9,11-07-2019,Documental,Asif Kapadia,,,Reino Unido,130 min.,,Avalon Distribución,11 de Julio de 2019
458,Spider-Man: Lejos de casa,8,05-07-2019,,Jon Watts,"Tom Holland, Zendaya","Chris McKenna, Erik Sommers",Estados Unidos,129 min. ,,Sony Pictures España,05 de Julio de 2019
459,Yesterday,6,05-07-2019,"Comedia, Fantástico, Romance",Danny Boyle,"Ana de Armas, Himesh Patel, Kate McKinnon, Lily James",Richard Curtis,Estados Unidos,116 min.,,Universal Pictures,05 de Julio de 2019
460,Varda por Agnès,10,05-07-2019,Documental,Agnès Varda,,Agnès Varda,Francia,115 min.,,A Contracorriente Films,05 de Julio de 2019
461,Las des(educación) de Cameron Post,8,05-07-2019,Drama,Desiree Akhavan,"Chloe Grace Moretz, Forrest Goodluck, Jennifer Ehle, John Gallagher Jr., Sasha Lane",,Estados Unidos,90 min. ,,Good Films,05 de Julio de 2019
462,"Elcano y Magallanes, la primera vuelta al mundo",6,05-07-2019,"Animación, Familiar",Ángel Alonso,,"Garbiñe Losada, José Antonio Vitoria",España,90 min.,,Filmax,05 de Julio de 2019
463,"522. Un gato, un chino y mi padre",6,05-07-2019,Drama,Paco R. Baños,"Alberto Jo Lee, Joao Lagarto, Manolo Solo, Maya Murofushi, Miguel Borges, Natalia de Molina, Sergio Dominguez",,España,90 min.,,Super 8 Media,05 de Julio de 2019
464,Welcome Home,2,28-06-2019,"Intriga, Thriller",George Ratliff,Aaron Paul,David Levinson,Estados Unidos,97 min.,,A Contracorriente Films,28 de Junio de 2019
465,Muñeco diabólico (Child’s Play),6,28-06-2019,"Comedia, Terror",,"Aubrey Plaza, Brian Tyree Henry, Tim Matheson",Tyler Burton Smith,Estados Unidos,90 min.,,Vértgo Films,28 de Junio de 2019
466,Los días que vendrán,9,28-06-2019,"Drama, Romance",Carlos Marques-Marcet,"Albert Prat, David Verdaguer, Maria Rodríguez Soto, Sergi Torrecilla","Carlos Marques-Marcet, Clara Roquet, Coral Cruz",España,94 min. ,,Avalon Distribución,28 de Junio de 2019
467,What You Gonna Do When The World’s On Fire?,6,28-06-2019,Documental,Roberto Minervini,,,Italia,123 min.,,The Match Factory ,28 de Junio de 2019
468,Me llamo Violeta,7,28-06-2019,"Documental, Transexualidad","David Fernández de Castro, Marc Parramon",,,Estados Unidos,73 min.,,MediaPro,28 de Junio de 2019
469,Instinto maternal,5,28-06-2019,"Drama, Familiar, Thriller",Olivier Masset-Depasse,"Anne Coesens, Arieh Worthalter, Jules Lefebvre, Mehdi Nebbou, Veerle Baetens",,Francia,97 min.,,Karma Films,28 de Junio de 2019
470,Los muertos no mueren,6,28-06-2019,"Comedia, Terror",Jim Jarmusch,"Adam Driver, Bill Murray, Chloë Sevigny, Danny Glover, Tilda Swinton",Jim Jarmusch,Estados Unidos,103 min.,,Universal,28 de Junio de 2019
471,Los Japón,3,28-06-2019,Comedia,Álvaro Díaz Lorenzo,"Antonio Dechent, Cinta Ramírez, Dani Rovira, Iker Castiñeira, María León, Maya Murofushi",Álvaro Díaz Lorenzo,España,91 min.,,Warner Bros.,28 de Junio de 2019
472,Tu mejor amigo: Un nuevo viaje,6,28-06-2019,"Comedia, Drama",Lasse Hallström,"Britt Robertson, Bryce Gheisar, Dennis Quaid, Josh Gad, Juliet Rylance, Luke Kirby","Audrey Wells, Cathryn Michon, Maya Forbes, W. Bruce Cameron, Wally Wolodarsky",Estados Unidos,100 min.,,Entertainment One Films,28 de Junio de 2019
473,Mario y los perros,3,27-06-2019,Documental,Chema de la Peña,,,España,63 min.,,Azul Media,27 de Junio de 2019
474,Toy Story 4,7,21-06-2019,"Animación, Aventuras, Comedia",,,"Andrew Stanton, Stephany Folsom",EE. UU.,100 min.,,Disney,21 de Junio de 2019
475,En los 90,8,21-06-2019,Drama,,Sunny Suljic,Jonah Hill,Estados Unidos,85 min.,,Diamond Films,21 de Junio de 2019
476,Godzilla: Rey de los monstruos,4,21-06-2019,"Ciencia-ficción, Terror",,"Ken Watanabe, Kyle Chandler, Millie Bobby Brown, Vera Farmiga, Zhang Ziyi","Michael Dougherty, Zach Shields",EE UU,132 min.,,Warner,21 de Junio de 2019
477,La influencia,3,21-06-2019,Terror,Denis Rovira van Boekholt,"Emma Suárez, Manuela Vellés","Daniel Rissech, Michel Gaztambide",España,111 min.,,Columbia,21 de Junio de 2019
478,"El Reina, arte entre latidos",6,21-06-2019,Documental,"Juan Carlos Gonzalez Asenjo, Miguel Castro Uceda",,,España,105 min.,,RTVE,21 de Junio de 2019
479,Un atardecer en la Toscana,6,21-06-2019,"Drama, Religión",Jacek Borcuch,"Antonio Catania, Kasia Smutniak, Krystyna Janda, Lorenzo de Moor, Robin Renucci, Vincent Riotta",,Polonia,92 min.,,BTeam Pictures,21 de Junio de 2019
